,id,tweet,subtask_a,subtask_b,subtask_c
8113,38005,@USER You're literally white nationalist radicals and enemies of the state. You're lucky you're not being hunted down by federal agents like the terrorists you are...but the citizenry will act in the state's place soon enough. ACTA NON VERBA. #TheResistance  #ResistTrump  #Antifa URL,OFF,TIN,IND
8761,17258,"@USER If you love our cops so much, why do you make it your life's goal to take away tools they need to stop crime, and put their very lives at risk? Why do you support ANTIFA thugs who assault cops and screech All Cops are Bastards""?""",OFF,TIN,GRP
12526,89316,@USER @USER @USER @USER Three soft little figure skating ballerinas.,NOT,,
5006,71872,Just imagine the tyranny we’d be living under had these leftwing tryants waging war on us and our duly elected president and the American Republic itself gained tyrannical control of the US Supreme Court the neocon’s #NeverTrump crew was trying to deliver to them?  #MAGA,NOT,,
9039,33761,@USER He really bisca fool huh,OFF,UNT,
1753,58939,@USER Yoongi you are the father!!! 😂 URL,NOT,,
4861,71105,@USER If you look it up it will tell you how they did the study he is right,NOT,,
11095,20945,@USER @USER Problem is your Senator Marco Rubio is on the NRA payroll. He’s taken over 3 million dollars from NRA and isn’t going to do anything about sensible gun control,NOT,,
9169,21885,"@USER Hey #MichaelMoore .... have another hot fudge Sunday cookie dough bacon fat pizza .....""  #WalkAway #MAGA   @USER @USER @USER @USER @USER @USER",NOT,,
622,35959,@USER @USER @USER Are you saying he is a turkey chocker 😶,OFF,TIN,IND
8856,71658,@USER Speaks volumes to the shift of political ideology in Canada when a sitting Liberal MP identifies more with the the Opposition Conservatives.  Both parties have shifted too far left.,NOT,,
1979,93220,@USER Oh well. You are a better man.,NOT,,
4880,87826,@USER DJT2- You have to remember his daughter is married to am Iranian and so he defends them at all costs. He is a coward and a disgrace. Thank GOD for your Dad or we would all be in a World of hurt!,OFF,TIN,IND
7053,29459,"@USER Glad I'm off both teams"" - Michelle Obama and BET!""",NOT,,
1606,55896,@USER @USER Tell us Blue. While NPR knows this kid with zero experience was railroaded by that shit Mueller with the help of an actual CIA spy Halper.,OFF,TIN,IND
7344,84864,@USER Chicago Tribune: London Mayor Sadiq Khan And The Ties To Farrakhan He’d Rather Forget URL via @USER,NOT,,
4826,74669,@USER What a great day!,NOT,,
4899,81043,@USER @USER @USER @USER Awesome🔥🔥🔥🔥❤❤❤❤,NOT,,
